English,Portuguese
The topic is worth discussing.,O assunto merece discussão.
Tell me the story.,Conte-me a história.
I couldn't help laughing when I heard that story.,Não pude conter o riso quando ouvi essa história.
The story sounds true.,A história parece verdadeira.
The story was true.,A história foi verdadeira.
The story is not in accord with the facts.,A história não está de acordo com os fatos.
The story is full of humor.,O relato é cheio de humor.
The story was very interesting.,A história era muito interessante.
The story had a happy ending.,A estória teve um final feliz.
The story reminds me of an experience I had long ago.,A história lembra-me de uma experiência que tive há muito tempo.
The story goes back to the sixteenth century.,A história retorna ao século XVI.
Part of the story is true.,Uma parte da história é verídica.
The old woman is getting better and is being taken good care of by a nurse from the hospital.,A velha está se recuperando e está sendo bem cuidada por uma enfermeira do hospital.
The old woman has no one to wait on her.,A mulher idosa não tem quem a sirva.
Fever and constant coughing weakened the old lady.,A febre e a tosse constante enfraqueceram a velha senhora.
The old man was accompanied by his grandchild.,Aquele idoso acompanhava-se de seus netos.
The old man spoke to me in French.,O velho falou comigo em francês.
"That old man is, so to speak, a walking dictionary.","O velho é, por assim dizer, um dicionário ambulante."
The old man said something.,O velho disse algo.
The old man lives by himself.,O velho mora sozinho.
The old man stopped suddenly and looked back.,O ancião parou repentinamente e olhou para trás.
The old man was loved by everyone.,O ancião era amado de todos.
The old man was taken in by a salesman.,Aquele idoso foi enganado pelo vendedor.
The old man attempted to swim five kilometers.,O velho tentou nadar 5 quilômetros.
The old man is always accompanied by his grandson.,O idoso acompanha-se sempre de seu neto.
The old doctor takes pride in his work.,O velho médico se orgulha de seu trabalho.
The old doctor gave individual attention to each patient.,O velho médico deu atenção individual a cada paciente.
The train is running fast.,O trem move-se rápido.
The train was crowded with high school students.,O trem estava cheio de estudantes de nível médio.
The train was ten minutes behind time.,O trem estava dez minutos atrasado.
The train will arrive at ten o'clock.,O trem chegará às dez horas.
You will miss the train.,Você vai perder o trem.
The apple is not yet ripe.,A maçã ainda não está madura.
Please show me the green shirt.,"Por favor, me mostre a camisa verde."
The dish smells good.,O prato está cheirando bem.
The trip cost me a lot.,A viagem custou-me muito.
The candidate was disappointed at the outcome of the election.,O candidato ficou desapontado com o resultado da eleição.
The theory is too abstract for me.,A teoria é abstrata demais para mim.
The theory is not accepted yet.,A teoria ainda não é aceita.
The barber gave him a haircut.,O barbeiro cortou o cabelo dele.
That dress matches her red hair.,Esse vestido combina com o seu cabelo ruivo.
The infant has been exposed to radioactive rays.,A criança foi exposta a radioatividade.
The manufacturer of the medicine is a Japanese company.,O produtor do remédio é uma empresa japonesa.
The medicine didn't do me any good.,Este remédio não me fez bem nenhum.
The medicine worked marvels.,A medicina fez maravilhas.
The drug acts like magic.,A droga age como mágica.
The medicine had an immediate effect.,O remédio tinha efeito imediato.
The medicine took effect.,O remédio fez efeito.
I've never heard of the actor.,Nunca ouvi falar do ator.
It was cloudy that night.,Estava nublado essa noite.
The night was very still.,A noite estava muito silenciosa.
The gate is closed at eight.,O portão está fechado às oito.
A committee has been set up to investigate the problem.,Um comitê foi criado para investigar o problema.
Why don't you look into the problem yourself? It's your responsibility.,Por que você mesmo não examina o problema? É de sua responsabilidade.
I found it difficult to solve the problem.,Achei difícil resolver o problema.
It took me five minutes to solve the problem.,Levei 5 minutos para resolver esse problema.
The problem perplexed him.,O problema deixou-o perplexo.
We can get over the problem without difficulty.,Podemos passar pelo problema sem dificuldade.
The problem has more to do with you than with me.,O problema tem mais a ver com você do que comigo.
Leave the matter to me.,Deixe esse assunto comigo.
The problem was too much for me.,O problema era demais para mim.
The question doesn't concern me.,Essa questão não me concerne.
"You couldn't solve the problem, could you?","Você não conseguiu resolver o problema, não foi?"
This problem is difficult to solve.,Este problema é difícil de resolver.
The subject is closed.,Assunto encerrado.
I disagree with you on the matter.,Eu não concordo com você neste assunto.
There must be some solution to the problem.,Tem que haver alguma solução para o problema.
I have nothing to say with regard to that problem.,Não tenho nada a dizer a respeito deste problema.
His remarks on the subject are much to the point.,Seus comentários sobre o assunto são muito diretos ao ponto.
All the leaves on the tree turned yellow.,Todas as folhas da árvore ficaram amarelas.
That name struck a chord.,Este nome soca a corda.
Both girls have blue eyes.,Ambas as meninas têm olhos azuis.
None of the girls are students.,Nenhuma das garotas é estudante.
The dream has come true.,O sonho se tornou realidade.
The dream has become a reality.,O sonho se tornou realidade.
The translation is quite true to the original.,A tradução é bem fiel ao original.
The translation is true to the original.,A tradução é fiel ao original.
"I wanted to buy the book, but I found I had no more than 200 yen with me.","Eu queria comprar o livro, mas descobri que não tinha mais do que 200 ienes comigo."
"I tried to read through the book, which I found impossible.","Eu tentei ler todo o livro, mas achei impossível."
Did you order the book?,Pediste o livro?
Give the book to whomever wants it.,Dê o livro para quem quer que o queira.
Put the book back on the shelf.,Coloque o livro de volta na prateleira.
I remember returning the book to the library.,Lembro-me de ter devolvido o livro à biblioteca.
There is no hurry about returning the book to me.,Não tem pressa em me devolver o livro.
Put the book on the desk.,Coloque o livro em cima da carteira.
Give me the book.,Dê-me o livro.
"Bring the book to me, not to Tom.","Traga o livro para mim, não para Tom."
Please put the book on the shelf.,"Por favor, coloque o livro na prateleira."
It was Mr Hino who translated the book from Spanish into Japanese.,Foi o Senhor Hino quem traduziu o livro de Espanhol para Japonês.
I'm afraid the book is beyond the reach of his understanding.,"Sinto muito, mas acho que o livro não está ao alcance do entendimento dele."
I found the book very interesting.,Achei o livro muito interessante.
This book is easy to read.,É fácil ler esse livro.
Who was the book written by?,Por quem foi escrito o livro?
I have already read the book.,Eu já li o livro.
Have you done with the book?,Terminaste com o livro?
I have not read all the books.,Eu não li todos os livros.
That book had a lot of pages.,Esse livro tinha muitas páginas.
Where is the book?,Onde está o livro?
They have demanded that all copies of the book be destroyed.,Eles pediram que todas as cópias do livro fossem destruídas.
Was the book interesting?,O livro era interessante?
Put the book on the top shelf.,Coloque o livro na prateleira de cima.
Put the book on the bottom shelf.,Coloque o livro na prateleira de baixo.
What do you think about the book?,Que é que você acha do livro?
I got much benefit from that book.,Tirei muito proveito desse livro.
You may give the book to whoever wants it.,Você deve dar o livro para quem quiser ele.
The little boy is used to talking with grown-ups.,O menininho está acostumado a falar com adultos.
I'm against the bill.,Estou contra esse projecto de lei.
"The treasure is still in the forest, where it is buried under a tree.","O tesouro ainda está na floresta, onde está enterrado sob uma árvore."
The report revealed that many teenagers are alcoholics.,O repórter revelou que muitos adolescentes são alcoólatras.
Boil down the report to one page.,Diminua o relatório para uma página.
The package was delivered yesterday.,O pacote foi entregue ontem.
The mother didn't know what to do with her son.,A mãe não sabia o que fazer com seu filho.
The mother laid her baby on the bed softly.,A mãe deitou o bebê suavemente na cama.
The mother was reluctant to leave her children alone.,A mãe estava relutante em deixar suas crianças sozinhas.
The mother is looking for a babysitter.,A mãe está procurando uma babá.
The lawyer's fee was very high.,O preço do advogado era muito alto.
I was taken aback at the answer.,Surpreendi-me com a resposta.
Can't you see a stapler somewhere around there?,Você não está vendo um grampeador por aí?
Tom will paint the fence tomorrow.,Tom irá pintar a cerca amanhã.
Don't lean against the wall.,Não se apoie no muro.
The fence will be painted by Tom tomorrow.,O Tom pintará a cerca amanhã.
The soldier was killed in action.,O soldado foi morto em ação.
The soldier carried on as if his wound was nothing.,O soldado continuou em frente como se seu ferimento não significasse nada.
"By that, Boeing means that there may also have been other problems, but that an accident could have been avoided if the crew had done their job correctly.","Com isso, a Boeing quer dizer que talvez tenha havido também outros problemas, mas o acidente poderia ter sido evitado se a tripulação tivesse feito seu trabalho corretamente."
"As usual, the physics teacher was late for class.","Como de costume, o professor de física atrasou-se para a aula."
Can you describe the object?,Você pode descrever o objeto?
"On hearing the noise, my brother started to cry.","Quando ouviu o barulho, meu irmão começou a chorar."
That wind blew out our last candle.,Aquele vento apagou nossa última vela.
Members of that tribe settled along the river.,Membros daquela tribo se estabeleceram ao longo do rio.
The room is full of people.,A sala está cheia de gente.
My brother and I shared the room.,Meu irmão e eu compartilhamos a sala.
The room is spacious and light.,O quarto é vasto e claro.
The room will be painted tomorrow.,A sala será pintada amanhã.
The room has two windows.,O quarto tem duas janelas.
The room was empty except for a shabby bed.,O quarto estava vazio a não ser um leito usado.
There was almost nothing in the room.,Não havia quase nada no quarto.
There is a piano in the room.,Há um piano no quarto.
The spoiled meat had a nasty smell.,A carne estragada tinha um cheiro desagradável.
The father and his son were very alike.,Pai e filho eram muito parecidos.
It was said that that lady was an actress.,Dizia-se que essa dama era uma atriz.
The couple have no less than seven children.,O casal tem 7 filhos.
The clumsy man envied her extraordinary talent.,O homem desajeitado invejava o talento extraordinário dela.
The sign says that the police will take your car away if you park it here.,O sinal avisa de que a polícia rebocará o seu carro se estacionar aqui.
Words cannot describe the beauty.,As palavras não podem descrever a beleza.
The beautiful woman is kind.,A bela mulher é generosa.
The airplane flies at a speed of five hundred kilometers per hour.,O avião viaja a uma velocidade de quinhentos quilômetros por hora.
The flight was cancelled because of the thick fog.,O voo foi cancelado por causa da neblina espessa.
The plane took off at exactly nine o'clock.,O avião decolou às nove horas em ponto.
How did the plane crash come about?,Como aconteceu a queda do avião?
I had no choice but to take the plane.,Eu não tive escolha a não ser pegar o avião.
All communication with that airplane was suddenly cut off.,Toda a comunicação com o avião foi cortada repentinamente.
The door is open now.,"A porta está aberta, agora."
The girl is lonely.,A garota é solitária.
There was a moon that night.,Havia lua naquela noite.
It was very cold that evening.,Estava muito frio naquele anoitecer.
What is the main cause of the crime?,Qual foi a principal causa do crime?
Drive the nail into the board.,Bata o prego na tábua.
The inventor is known all over the world.,O inventor está conhecido no mundo todo.
The power plant supplies the remote district with electricity.,A usina abastece o bairro distante com eletricidade.
The greengrocer is very kind to his customers.,O verdureiro é muito gentil com seus clientes.
Shall I have that box?,Pode me passar aquela caixa?
The box is almost empty.,A caixa está quase vazia.
There are a lot of eggs in the box.,Há muitos ovos na caixa.
What's in the box?,O que há na caixa?
The explosion came about by accident.,A explosão foi produzida por acidente.
The museum is worth a visit.,Visitar o museu vale a pena.
It is worthwhile visiting that museum.,Vale a pena dar uma passada neste museu.
The museum is open from Monday to Friday.,O museu está aberto de segunda a sexta.
I paid for the purchase in cash.,Paguei a compra em dinheiro.
The purchase is on the company's account.,A conta será paga pela empresa.
The horse broke its neck when it fell.,O cavalo quebrou o pescoço quando caiu.
The horse's flanks are hurt.,Os flancos do cavalo estão machucados.
The farmer employed five new workers.,O fazendeiro contratou cinco novos funcionários.
The cat was scared by an unfamiliar noise.,O gato estava assustado por causa de um som estranho.
The cat drinks milk.,O gato bebe leite.
The cat is very cute.,O gato é muito giro.
"One of the cats is black, the other is brown.","Um dos gatos é preto, o outro é marrom."
That Japanese word has no equivalent in English.,Essa palavra japonesa não possui equivalente em inglês.
"It was a fine day, so we went swimming.","Estava um dia bom, então fomos nadar."
I left my wallet at home on that particular day.,Eu deixei minha carteira em casa naquele dia em particular.
The meat is frozen.,A carne está congelada.
The meat tastes bad.,A carne está com um gosto ruim.
That's the meat of a hen.,Isso é carne de galinha.
All the meat was bad.,Toda a carne estava ruim.
The meat was giving off a terrible smell.,A carne estava exalando um cheiro terrível.
The shy boy was utterly embarrassed in her presence.,O menino ficou muito envergonhado em sua presença.
The road is ten feet in width.,A estrada é dez pés de largura.
The road is too narrow for cars.,O caminho é demasiado estreito para carros.
The street is somewhere along here.,A rua fica em algum lugar por aqui.
There are some strange animals in the zoo.,Há alguns animais estranhos no zoológico.
There were no radios in Japan in those days.,Não havia rádio no Japão naqueles dias.
There were no radios in those times.,Não havia rádio naquela época.
The island is warm all year.,A ilha é quente o ano inteiro.
That island was governed by France at one time.,Aquela ilha foi governada pela França uma vez antes.
"Of the island's exports, 82% – more than four-fifths – is agricultural produce.",82% - mais de quatro quintos - das exportações da ilha são produtos agrícolas.
The airfield on the island is now covered with weeds.,O campo de pouso da ilha agora está coberto de mato.
Few people live on the island.,Poucas pessoas moram na ilha.
It was hard for them to get to the island.,Era difícil para eles chegar à ilha.
There are still some savage tribes on that island.,Ainda há algumas tribos hostis naquela ilha.
The island was inhabited by a fishing people.,Esta ilha era habitada por pescadores.
No animals are to be found on the island.,Não se encontram animais na ilha.
Everyone was very surprised to discover that the slave girl was in reality a princess.,"Todo mundo estava surpreso ao descobrir que a garota escrava era, na verdade, uma princesa."
I've never heard of that city.,Eu nunca ouvi falar nessa cidade.
The telegram was a trick to get her to come home.,O telegrama foi um truque para fazê-la vir para casa.
I can't necessarily agree with you on that point.,"Eu não posso, necessariamente, concordar contigo naquele ponto."
That store sells meat and fish.,Aquela loja vende carne e peixe.
The shop was crowded with young people.,A loja estava lotada por adolescentes.
The store is just across from my house.,A loja fica apenas em frente da minha casa.
The store is closed Mondays.,A loja está fechada na segunda-feira.
The shop is kept under police supervision.,A loja é mantida sob supervisão policial.
There's only one store on the island.,Há apenas uma loja na ilha.
They marked the damaged goods down by 40%.,Eles remarcaram as mercadorias danificadas em menos 40%.
They sell sugar at the store.,Vende-se açúcar na loja.
They deal in shoes and clothes at that store.,Eles compram e vendem calçados e roupas naquela loja.
The thief ran fast.,O ladrão correu rápido.
The thief ran away at the sight of a policeman.,O ladrão fugiu ao ver um policial.
We said in unison that we didn't agree to the suggestion.,Nós dissemos ao mesmo tempo que não concordávamos com a proposta.
The proposal has its good points as well as its bad ones.,A proposta tem pontos tanto bons quanto ruins.
There are all kinds of flowers in that garden.,Há todos os tipos de flores naquele jardim.
She clearly does not mean it.,Ela claramente não quis dizer isso.
That street is very noisy.,Essa rua é muito barulhenta.
The street is full of cars.,A rua está cheia de carros.
Exactly!,Exatamente!
The two lines cross each other at right angles.,As duas linhas se cruzam em ângulos retos.
The bird was half as large as an eagle.,O pássaro era da metade do tamanho de uma águia.
The bird spread its wings.,O pássaro estendeu suas asas.
The bird was covered with white feathers.,O pássaro era coberto de penas brancas.
The bird is in its nest.,O pássaro está no seu ninho.
The birds are so tame they will eat from your hand.,Os pássaros são tão mansos que eles comerão de sua mão.
The bird's wing was broken.,A asa do pássaro estava quebrada.
Access to the mountaintop is difficult.,O topo da montanha é de difícil acesso.
The investigation is under way.,A investigação está acontecendo.
I was interested in seeing the city.,Eu estava interessada em ver a cidade.
The city is at the foot of the mountain.,A cidade fica no pé da montanha.
The town is famous for its old castle.,A cidade é famosa por seu velho castelo.
The town is two miles away from the coast.,A vila está a duas milhas de distância da costa.
The town lay buried for centuries.,A vila ficou enterrada por séculos.
The city was destroyed by fire.,A cidade foi destruída pelo fogo.
That town looked prosperous.,Aquela vila parecia ser próspera.
The town is famous for its hot spring.,A vila é famosa por suas termas.
That town is two miles away.,Aquela cidade fica a duas milhas de distância.
There were a few large old wooden houses in the town.,Há algumas casas de madeira grandes e velhas na cidade.
The secretary opened the mail which had been delivered that morning.,O secretário abriu a correspondência que tinha sido entregue naquela manhã.
The statue was carved from a block of cherry wood.,A estátua foi esculpida em um bloco de madeira de cerejeira.
The middle-aged women kept talking loudly all the way.,A mulher de meia idade continuou a falar alto durante todo a viagem.
The key word is equality.,A palavra-chave é igualdade.
"One of them is an actor, who is going to pretend to murder someone.",Um deles é um ator que vai fingir que mata alguém.
Among these there may be new sources of food fish and new species of other creatures.,"Entre estas, pode haver novas fontes de peixes comestíveis e novas espécies de outras criaturas."
The cup has a crack.,A xícara tem uma racha.
The bamboo gave but did not break.,O bambu vergou mas não quebrou.
The pond is 3 meters deep.,A lagoa tem 3 metros de profundidade.
The whole country was covered with snow.,O país todo estava coberto de neve.
The legend gave the name to the place.,A lenda deu nome ao lugar.
The district is abundant in natural resources.,O distrito é abundante em recursos naturais.
The earthquake shook the houses.,O terremoto chacoalhou as casas.
The region is relatively rich in mineral resources.,A região é relativamente rica em recursos minerais.
"On hearing the news, she turned pale.","Ao ouvir a notícia, ela ficou pálida."
We believed that the news is true.,Nós acreditamos que as notícias sejam verdadeiras.
The news came out of the blue.,A notícia veio de repente.
I felt very troubled by the news.,Fiquei muito perturbado com as notícias.
The news added to our happiness.,A notícia aumentou nossa felicidade.
The price includes tax.,O preço inclui imposto.
The actor was onstage for most of the play.,O ator estava no palco durante a maior parte do espetáculo.
The man stood up.,O homem ficou de pé.
The man was ashamed of being born poor.,O homem se envergonhava de ter nascido pobre.
The man robbed him of all his money.,Um homem roubou todo o dinheiro dele.
The man suddenly started shooting his gun.,O homem de repente começou a atirar com sua arma.
The man got away from the city.,O homem saiu da cidade.
The man fell down on the ground.,O homem caiu no chão.
The man was charged with theft.,O homem foi acusado de roubo.
That man can't have committed suicide.,Esse homem não pode ter se suicidado.
The man took my arm.,O homem pegou o meu braço.
The man hit me on the head.,O homem golpeou-me a cabeça.
The man is liable to the death penalty.,O homem está sujeito à pena de morte.
The man is anything but honest.,O homem é qualquer coisa menos honesto.
The man wanted to have a drink.,O homem queria uma bebida.
The man kept talking for an hour.,O homem continuou falando por uma hora.
The man speaks English with a German accent.,O homem fala inglês com um sotaque alemão.
The man finally confessed.,O homem finalmente confessou.
The man was sitting on a fallen tree.,O homem estava sentado sobre uma árvore caída.
The man lost all hope.,O homem perdeu as esperanças.
The man built up a large fortune.,O homem acumulou uma grande fortuna.
The man glanced at the news program and was shocked.,O homem deu uma olhada no programa de notícias e ficou chocado.
Well do I remember the man's name.,Bem me lembro do nome daquele homem.
The boy has never been to the zoo.,O menino nunca esteve no zoológico.
The boy took the radio apart.,O garoto desmontou o rádio.
That boy won't tell me his name.,Esse menino não quer me dizer seu nome.
The boy fell and scraped his knee.,O menino caiu e ralou o joelho.
The boy cut the cake in two.,O menino cortou o bolo em dois.
The man's third attempt to stop smoking failed.,A terceira tentativa desse homem de deixar de fumar falhou.
The man and his wife helped each other.,O homem e a mulher dele se ajudavam.
The detective has a lot of adventures.,O detetive tem muitas aventuras.
Look up the word in the dictionary.,Veja a palavra no dicionário.
I am not sure how to pronounce the word.,Não estou seguro de como pronunciar esta palavra.
The continent is abundant in fossil fuels.,O continente é abundante em combustíveis fósseis.
The millionaire began life as a poor boy.,O milionário nasceu pobre.
The president was a farmer when he was young.,O presidente era um fazendeiro quando ele era jovem.
The cathedral dates back to the Middle Ages.,A catedral data da Idade Média.
The minister contradicted his own statement.,O ministro contradisse sua própria afirmação.
What was she doing when she made that blunder?,O que ela estava fazendo quando fez aquela cagada?
Is it large enough?,É grande o suficiente?
I think these attitudes are behind the times.,Eu acho que essas atitudes são retrógradas.
There's narrow road to the village.,Há uma estrada estreita para a vila.
The village is many kilometers away from the seashore.,A ilha está muitos quilômetros distante da costa.
Most people in the village objected to the plan.,A maioria das pessoas na vila era contra o plano.
We will make up for the loss.,Compensaremos a perda.
The statue was cast in a mold.,A estátua foi feita em um molde.
The twins are indistinguishable from each other.,Os gêmeos são indistinguíveis entre si.
The twins look exactly alike.,Os gêmeos são realmente parecidos.
The twins are as alike as two peas in a pod.,Os gêmeos eram tão parecidos quanto duas ervilhas numa vagem.
The twins looked after the baby.,Os gêmeos cuidaram do bebê.
Can you tell one of the twins from the other?,Você pode diferenciar os gêmeos?
We detected a great fault in the system.,Detectamos uma grande falha no sistema.
The boat sailed across the Pacific Ocean.,O barco navegou pelo oceano Pacífico.
The ship was bound for Cairo.,O navio dirigia-se para o Cairo.
The war lasted two years.,A guerra durou dois anos.
The war ended in 1954.,A guerra acabou em 1954.
It was the war that changed Japan.,Foi a guerra que mudou o Japão.
There are plenty of fish in this river.,Tem bastantes peixes neste rio.
Don't swim in the river.,Não nades no rio.
The ticket is valid for a week.,O ticket é válido por uma semana.
The baby is asleep.,O bebê está adormecido.
The baby cried for milk.,O bebê chorou por leite.
The baby fell asleep.,O bebê dormiu.
The baby cannot walk yet.,O bebê não sabe andar ainda.
That old tradition has disappeared.,Essa velha tradição desapareceu.
The manufacturer guaranteed the new machine for 5 years.,O fabricante deu uma garantia de 5 anos na nova máquina.
Not all those students are present.,Nem todos estudantes estão presentes.
The political scandal was brought to light by two journalists.,O escândalo político foi trazido à luz por dois jornalistas.
The policy will only accelerate inflation.,A política só vai acelerar a inflação.
The uniforms are different from those of our school.,Os uniformes são diferentes dos da nossa escola.
The water will come to a boil in 5 minutes or so.,A água vai ferver daqui a uns 5 minutos.
"Covered with dust, the doll stood in the corner of the room.","Coberta de pó, a boneca estava de pé no canto da sala."
The popular singer committed suicide.,O cantor famoso cometeu suicídio.
Is the man old or young?,O homem é velho ou novo?
How did you get to know that person?,Como você conheceu aquela pessoa?
The man behind them is playing the piano.,O homem atrás deles está tocando piano.
The gentleman is a very famous pianist.,O cavalheiro é um pianista muito famoso.
The fact was brought to light.,O fato foi esclarecido.
The animals in the forest died off.,Os animais da floresta morreram.
Birds abound in the woods.,Há muitos pássaros nessa floresta.
The new product will not be distributed through conventional channels.,O novo produto não será distribuído pelos canais convencionais.
The new car is hers.,O carro novo é dela.
The new building is enormous.,O novo prédio é enorme.
The new bridge is under construction.,A nova ponte está sob construção.
The new supermarket was opened last month.,O novo supermercado foi aberto no mês passado.
The umpire was partial to the team from his country.,O árbitro foi parcial em favor do time de seu país.
The meal includes dessert as well as beverage.,A refeição consiste em sobremesa assim como bebidas.
The food went bad in the hot weather.,A comida se estragou por causa do tempo quente.
The color is purple rather than pink.,A cor é mais roxa do que rosa.
Pull the plant up by the roots.,"Puxe a planta para cima, incluindo as raízes."
Don't expose the plant to direct sunlight.,Não exponha a planta diretamente ao sol.
The plants died for lack of water.,As plantas morreram por falta de água.
I want to see the scene in slow motion.,Quero ver a cena em câmera-lenta.
No one happened to be there.,Aconteceu de ninguém estar lá.
Stopgap measures won't make a dent in drug addiction.,Medidas provisórias não surtirão muito efeito na toxicomania.
The castle was transformed into a marvelous museum.,O castelo foi transformado em um museu incrível.
The castle has been restored and is open to the public.,O castelo foi restaurado e está aberto ao público.
The castle is now in ruins.,O castelo está agora em ruínas.
The castle is worth visiting.,Vale a pena visitar o castelo.
Don't sit on it.,Não se sente em cima disso.
I paid five dollars in addition.,Eu paguei cinco dólares a mais.
The evidence was in his favor.,A prova foi vantajosa a ele.
The portrait was taken from the wall.,O retrato foi tirado da parede.
The portrait looks exactly like the real thing.,O retrato parece exatamente igual ao real.
The boy made his parents happy.,O garoto fez os pais felizes.
The boy was accompanied by his parents.,O menino acompanhou-se de seus pais.
The boy was crying in the room.,O garoto chorava na sala.
The boy answered his father back.,O garoto respondeu de volta ao pai.
The boy got in through the window.,O menino entrou pela janela.
The boy was good at mathematics so everybody considered him a genius.,"O garoto era bom em matemática, então todos o consideraram um gênio."
The boy is kind.,O rapaz é gentil.
The boy was naked to the waist.,O garoto estava pelado até a cintura.
The boy tried to saw off the dead branch.,O menino tentou serrar o galho morto.
"The boy fainted, but he came to when we threw water on his face.","O menino desmaiou, mas voltou a si quando jogamos água em seu rosto."
The boy put on his athletic shoes and ran outside.,O menino calçou seus tênis esportivos e correu para fora.
The boy reached out for another piece of cake.,O menino esticou o braço para pegar outra fatia de bolo.
The boy talks as if he were a girl.,O menino fala como se fosse uma menina.
The boy took great pains to solve the quiz.,O garoto fez grandes esforços para resolver o questionário.
The boy was almost drowned.,O garoto quase se afogou.
All the boys are honest.,Todos os meninos são honestos.
I wish I had treated the girl more kindly.,Queria ter tratado a garota de forma mais gentil.
"Filled with sorrow, the girl looked him in the eye.","Cheia de pesar, a garota olhou para ele nos olhos."
The girl sat beside me.,A garota se sentou ao meu lado.
The girl was badly injured in the traffic accident.,A menina foi gravemente ferida no acidente de carro.
The girl's eyes were filled with tears.,Os olhos da menina estavam cheios de lágrimas.
The girl is a nurse.,A garota é enfermeira.
The girl had to abandon the idea of becoming a singer.,A garota teve que abandonar a ideia de tornar-se uma cantora.
The girl was laughed at by all her classmates.,Todos os colegas da garota riram dela.
The girls danced in the gym.,As garotas dançaram no ginásio.
The girl broke the window.,A garota quebrou a janela.
The parcel weighs more than one pound.,A encomenda pesa mais de uma libra.
I recommend that you read that novel.,Eu recomendo a você que leia esse romance.
Mr Robinson didn't write the novel.,O senhor Robinson não escreveu a novela.
The heroine of the novel committed suicide.,A heroína do romance cometeu suicídio.
Let me have the novel when you have done with it.,Avise-me quando você tiver acabado.
The woman speaks as if she were a teacher.,A mulher fala como se ela fosse uma professora.
It was Tom that saved the girl.,Foi Tom que salvou a garota.
The girl resembled her mother.,A menina se parecia à mãe.
The girl released the birds from the cage.,A menina soltou os passarinhos da gaiola.
The girl asked her father to read the book to her.,A garota pediu para seu pai ler um livro para ela.
The girls are as busy as bees.,As garotas estão muito ocupadas.
The document was nowhere to be found.,O documento não estava em lugar algum.
Let the paper be signed.,Vamos assinar o documento.
He introduced me to his relatives at the reception.,"Na recepção, ele me apresentou sua família."
Put the gun on the table.,Coloque a arma em cima da mesa.
The gun went off by accident.,A arma disparou por acidente.
"That habit is acquired, not innate.","Este hábito foi adquirido, não é inato."
The province is relatively rich in mineral resources.,A província é relativamente rica em recursos minerais.
The prisoner was set at liberty yesterday.,O prisioneiro foi solto ontem.
The operation is accompanied by a lot of pain.,A operação é acompanhada com muita dor.
Don't forget to post the letter.,Não esqueça de postar a carta.
Did you receive the letter?,Você recebeu a carta?
The letter was written in the Queen's own hand.,A carta foi escrita pela mão da própria rainha.
Bill wrote the letter.,O Bill escreveu a carta.
The letter was written by Bill.,A carta foi escrita por Bill.
Who was the letter written to?,A quem foi escrita a carta?
The content of the letter had an interesting effect on my marriage.,O conteúdo da carta teve um efeito interessante no meu casamento.
"The letter sounds forced, what is worse, insincere.","A carta parece forçada, e o que é pior, mentirosa."
The young engineer was deficient in experience.,O jovem engenheiro era falho em experiência.
I wish I had enough money to buy the car.,Queria ter mais dinheiro para comprar o carro.
The car didn't move.,O carro não se moveu.
The car didn't stop.,O carro não parou.
The car broke down.,O carro enguiçou.
The car cost $5000 and did not run well at that.,"O carro custou cinco mil dólares e, mesmo assim, não funcionava bem."
"The car passed by, raising a cloud of dust behind it.",O carro passou levantando uma nuvem de poeira atrás dele.
The socialist was accompanied by a female interpreter.,O socialista acompanhou-se de uma intérprete.
This photo takes me back to my childhood.,A foto me traz de volta aos meus tempos de criança.
The pictures are pasted on all sides.,As figuras estão coladas em todos os lados.
You are holding my hand in that picture.,Estás a segurar a minha mão naquela foto.
For that experiment they need a complete vacuum.,Para este experimento precisa-se de um vácuo perfeito.
The experiment confirmed his theory.,O experimento confirmou sua teoria.
The businessman is thinking of rescinding the contract.,O homem de negócios está pensando em rescindir o contrato.
The question was too difficult to answer.,A pergunta era muito difícil de responder.
It is difficult for me to answer the question.,É difícil para eu responder a pergunta.
I have no money to buy the dictionary.,Não tenho dinheiro para comprar o dicionário.
You may use either of the dictionaries.,Você pode usar qualquer um dos dicionários.
Please lend me the dictionary when you are through with it.,Por favor me empreste o dicionário quando você terminar.
He died the next day.,Ele morreu no dia seguinte.
I was at home then.,Eu estava em casa nesse momento.
The clock is wrong.,O relógio está errado.
The watch is manufactured in Switzerland.,O relógio de pulso é fabricado na Suíça.
My father had never been abroad until then.,Meu pai nunca estivera fora até então.
I didn't know what to do then.,"Eu não sabia o que fazer, então."
Don't forget to let me know when it's time.,Não se esqueça de me avisar quando chegar a hora!
Then the motor suddenly died.,Então o motor parou repentinamente.
Did you have a sheet of paper then?,"Você, então, teria uma folha de papel?"
The fact was of interest to the scientists.,O fato era de interesse dos cientistas.
Describe that accident in detail.,Descreva aquele acidente em detalhes.
The accident deprived her of her only son.,O acidente a privou de seu único filho.
The accident took place at that corner.,O acidente aconteceu na esquina.
The accident was due to the smog.,O acidente se deu devido à neblina.
The accident took place on the evening of last Sunday.,O acidente aconteceu ao anoitecer do último domingo.
The accident happened the day before yesterday.,O acidente ocorreu antes de ontem.
When did the accident happen?,Quando ocorreu o acidente?
When did the accident take place?,Quando ocorreu o acidente?
The accident happened at a crossroads.,O acidente ocorreu numa encruzilhada.
The accident happened two hours ago.,O acidente aconteceu há duas horas.
He is responsible for the accident.,Ele é o responsável pelo acidente.
